# derived from data/raw/EXP-P03/*_radix_*.jsonl (3 seeds/point), generated by scripts/aggregate_p03.py
arm,concurrency,prefix_len,rounds,ttft_p50_mean_ms,ttft_p50_std_ms,ttft_mean_mean_ms,cached_expected,cached_ok_all
off,1,0,3,26.87,0.05,27.11,0,True
off,1,512,3,26.80,0.07,26.84,0,True
off,1,1024,3,26.68,0.18,26.70,0,True
off,1,1536,3,26.61,0.08,26.64,0,True
off,1,1792,3,26.59,0.15,26.71,0,True
on,1,0,3,26.84,0.03,27.27,0,True
on,1,512,3,24.15,0.03,25.06,512,True
on,1,1024,3,19.37,0.09,19.40,1024,True
on,1,1536,3,17.42,0.11,17.52,1536,True
on,1,1792,3,17.27,0.08,17.32,1792,True
on,8,0,3,115.14,0.30,104.87,0,True
on,8,512,3,103.18,0.24,98.44,512,True
on,8,1024,3,73.31,0.18,70.33,1024,True
on,8,1536,3,53.02,0.42,52.07,1536,True
on,8,1792,3,42.73,0.13,42.16,1792,True
