policy,workload,concurrency,n_seeds,ttft_p50_ms,tpot_p50_ms,e2e_p50_ms,throughput_req_s,ttft_delta_pct_vs_rr
cache_aware,hot_prefix_1024,1,3,202.26,15.76,691.24,1.46,1.9
cache_aware,hot_prefix_1024,4,3,451.28,18.57,1107.97,3.67,95.7
cache_aware,hot_prefix_1024,16,3,1111.56,43.87,2583.95,6.37,53.3
cache_aware,hot_prefix_1792,1,3,112.15,15.76,601.09,1.67,2.1
cache_aware,hot_prefix_1792,4,3,221.89,16.93,746.48,5.37,69.8
cache_aware,hot_prefix_1792,16,3,413.56,24.88,1174.61,13.75,50.3
cache_aware,unique_control,1,3,302.61,15.76,792.13,1.28,1.2
cache_aware,unique_control,4,3,747.62,19.43,1550.89,2.64,75.7
cache_aware,unique_control,16,3,2231.46,62.15,3938.4,3.75,195.8
round_robin,hot_prefix_1024,1,3,198.49,15.75,687.84,1.46,0.0
round_robin,hot_prefix_1024,4,3,230.58,18.65,856.9,4.69,0.0
round_robin,hot_prefix_1024,16,3,725.27,28.25,1595.97,10.16,0.0
round_robin,hot_prefix_1792,1,3,109.88,15.76,599.22,1.67,0.0
round_robin,hot_prefix_1792,4,3,130.67,17.83,675.21,5.9,0.0
round_robin,hot_prefix_1792,16,3,275.14,20.03,898.04,17.88,0.0
round_robin,unique_control,1,3,298.9,15.74,788.25,1.28,0.0
round_robin,unique_control,4,3,425.55,18.19,1062.67,3.82,0.0
round_robin,unique_control,16,3,754.33,55.73,2538.79,6.4,0.0
